video_name,label
WIN_20260808_12_25_18_Pro_0000_to_0063.avi,6
WIN_20260808_12_25_18_Pro_0020_to_0083.avi,6
WIN_20260808_12_25_18_Pro_0040_to_0103.avi,6
WIN_20260808_12_25_18_Pro_0060_to_0123.avi,6
WIN_20260808_12_25_18_Pro_0100_to_0163.avi,6
WIN_20260808_12_25_18_Pro_0120_to_0183.avi,6
WIN_20260808_12_25_18_Pro_0140_to_0203.avi,6
WIN_20260808_12_25_18_Pro_0160_to_0223.avi,6
WIN_20260808_12_25_18_Pro_0200_to_0263.avi,6
WIN_20260808_12_25_18_Pro_0220_to_0283.avi,6
WIN_20260808_12_25_18_Pro_0240_to_0303.avi,6
WIN_20260808_12_25_18_Pro_0260_to_0323.avi,6
WIN_20260808_12_25_18_Pro_0300_to_0363.avi,6
WIN_20260808_12_25_18_Pro_0320_to_0383.avi,6
WIN_20260808_12_25_18_Pro_0340_to_0403.avi,6
WIN_20260808_12_25_18_Pro_0360_to_0423.avi,6
WIN_20260808_12_25_18_Pro_0400_to_0463.avi,6
WIN_20260808_12_25_18_Pro_0420_to_0483.avi,6
WIN_20260808_12_25_18_Pro_0440_to_0503.avi,6
WIN_20260808_12_25_18_Pro_0460_to_0523.avi,6
WIN_20260808_12_25_18_Pro_0500_to_0563.avi,6
WIN_20260808_12_25_18_Pro_0520_to_0583.avi,6
WIN_20260808_12_25_18_Pro_0540_to_0603.avi,6
WIN_20260808_12_25_18_Pro_0560_to_0623.avi,6
WIN_20260808_12_25_18_Pro_0600_to_0663.avi,6
WIN_20260808_12_25_18_Pro_0620_to_0683.avi,6
WIN_20260808_12_25_18_Pro_0640_to_0703.avi,6
WIN_20260808_12_25_18_Pro_0660_to_0723.avi,6
WIN_20260808_12_25_18_Pro_0700_to_0763.avi,6
WIN_20260808_12_25_18_Pro_0720_to_0783.avi,6
WIN_20260808_12_25_18_Pro_0740_to_0803.avi,6
WIN_20260808_12_25_18_Pro_0760_to_0823.avi,6
WIN_20260808_12_25_18_Pro_0800_to_0863.avi,6
WIN_20260808_12_25_18_Pro_0820_to_0883.avi,6
WIN_20260808_12_25_18_Pro_0840_to_0903.avi,6
